id,dealname,lh2_domain,lead_source,pipeline,dealstage,hubspot_owner_id,description,createdate,poc,scraped_type,source_tab,pipeline_source,distress_tier,distress_score,num_repos,num_projects
342546251454,Spysr,spysr.in,Founder Search ( IT Services ),default,3992480462,96574824,"FIND THE FOUNDER/CEO. Website: https://spysr.in | City: Delhi, India | prequal rank 41 score 95 | MCA director (verify on LinkedIn): Pinky Devi",2026-08-17T07:59:44.531Z,96574824,,founder_hunt,,,,,
342404483826,Avya Technology Pvt Ltd,avyatech.com,Founder Search ( IT Services ),default,3992480462,96574824,"FIND THE FOUNDER/CEO. Website: https://avyatech.com | City: Noida, India | prequal rank 5 score 110 | MCA director (verify on LinkedIn): Chandan Kumar",2026-08-17T07:59:06.113Z,96574824,,founder_hunt,,,,,
342511748834,Spiral Mantra Private Limited,spiralmantra.com,Founder Search ( IT Services ),default,3992480462,96573782,"FIND THE FOUNDER/CEO. Website: https://spiralmantra.com | City: Noida, India | prequal rank 60 score 90 | MCA director (verify on LinkedIn): Pratiksha Patahk",2026-08-17T08:00:03.283Z,96573782,,founder_hunt,,,,,
342564101872,Fare Portal India Private Limited,fareportal.com,Founder Search ( IT Services ),default,3992480462,96573782,FIND THE FOUNDER/CEO. Website: https://fareportal.com | City: Gurugram | prequal rank 107 score 80 | MCA director (verify on LinkedIn): Saurabh Atrey,2026-08-17T08:01:12.527Z,96573782,,founder_hunt,,,,,
342405993149,Zebra Techies Solution,zebratechies.com,Founder Search ( IT Services ),default,3992480462,96573782,"FIND THE FOUNDER/CEO. Website: https://zebratechies.com | City: Kolkata, India | prequal rank 121 score 80 | no registry name — research from scratch",2026-08-17T08:01:29.286Z,96573782,,founder_hunt,,,,,
342499375824,StartxLabs Technologies Private Limited,startxlabs.com,Founder Search ( IT Services ),default,3992480462,96573782,"FIND THE FOUNDER/CEO. Website: https://startxlabs.com | City: Gurgaon, India | prequal rank 78 score 85 | MCA director (verify on LinkedIn): Deep Chand",2026-08-17T08:00:28.316Z,96573782,,founder_hunt,,,,,
342501131997,Nelito Systems Private Limited,nelito.com,Founder Search ( IT Services ),default,3992480462,96574824,FIND THE FOUNDER/CEO. Website: https://nelito.com | City: Navi Mumbai | prequal rank 69 score 85 | MCA director (verify on LinkedIn): Sanjay Dube,2026-08-17T08:00:12.893Z,96574824,,founder_hunt,,,,,
342576212721,TechTez LLP,techtez.com,Founder Search ( IT Services ),default,3992480462,96573782,"FIND THE FOUNDER/CEO. Website: https://techtez.com | City: Bengaluru, India | prequal rank 97 score 85 | MCA director (verify on LinkedIn): Arunkumar Sankarlingam",2026-08-17T08:01:01.057Z,96573782,,founder_hunt,,,,,
342474679002,axiusSoftware,axiussoftware.com,Founder Search ( IT Services ),default,3992480462,96574824,"FIND THE FOUNDER/CEO. Website: https://axiussoftware.com | City: Kolkata, India | prequal rank 25 score 97 | MCA director (verify on LinkedIn): Bharati Nandi",2026-08-17T07:59:26.907Z,96574824,,founder_hunt,,,,,
342569048778,Durapid Technology Private Limited,durapid.com,Founder Search ( IT Services ),default,3992480462,96574824,"FIND THE FOUNDER/CEO. Website: https://durapid.com | City: Jaipur, India | prequal rank 39 score 95 | MCA director (verify on LinkedIn): Divya Jain .",2026-08-17T07:59:41.890Z,96574824,,founder_hunt,,,,,
342570841787,Karmsoft,karmsoft.com,Founder Search ( IT Services ),default,3992480462,96573782,"FIND THE FOUNDER/CEO. Website: https://karmsoft.com | City: Ahmedabad, India | prequal rank 92 score 85 | MCA director (verify on LinkedIn): Rajendran Kasthuri",2026-08-17T08:00:56.743Z,96573782,,founder_hunt,,,,,
